AssetID,AsOfDate,UtilType,InitialVal,UtilType,InitialVal
90,1/1/2018,Hours,2098.2,Cycles,183.2
91,1/1/2018,Hours,3332.1,Cycles,176.5
92,1/1/2018,Hours,2794.9,Cycles,118.7
93,1/1/2018,Hours,2068.8,Cycles,174.9
94,1/1/2018,Hours,2326.7,Cycles,158.5
95,1/1/2018,Hours,2489,Cycles,149.8
96,1/1/2018,Hours,2856.1,Cycles,110.8
97,1/1/2018,Hours,2053.4,Cycles,151.4
98,1/1/2018,Hours,3388.8,Cycles,169.3
99,1/1/2018,Hours,3773.6,Cycles,184.3
100,1/1/2018,Hours,3723.1,Cycles,123.2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
