Unit,Phase,StartDate,EndDate,AssetDemand
D,H,9/29/28,3/27/29,12
E,H,1/1/18,3/21/19,7
E,H,3/22/19,4/22/19,8
E,H,4/23/19,8/2/19,9
E,H,8/3/19,11/4/19,10
E,H,11/5/19,7/25/20,12
E,H,7/26/20,11/8/20,10
E,H,11/9/20,4/8/22,7
E,H,4/9/22,5/2/22,8
E,H,5/3/22,7/27/22,9
E,H,7/28/22,10/28/22,10
E,H,10/29/22,4/16/23,12
E,H,4/17/23,5/19/23,10
E,H,5/20/23,12/8/24,7
E,H,12/9/24,1/15/25,8
E,H,1/16/25,4/4/25,9
E,H,4/5/25,10/16/25,10
E,H,10/17/25,8/19/26,12
E,H,8/20/26,10/22/26,10
E,H,10/23/26,3/31/28,7
E,H,4/1/28,4/28/28,8
E,H,4/29/28,8/6/28,9
E,H,8/7/28,1/14/29,10
E,H,1/15/29,11/1/29,12
E,H,11/2/29,3/15/30,10
F,H,1/1/18,2/2/18,8
F,H,2/3/18,5/15/18,9
F,H,5/16/18,9/20/18,10
F,H,9/21/18,7/8/19,12
F,H,7/9/19,10/11/19,10
F,H,10/12/19,2/5/21,7
F,H,2/6/21,3/5/21,8
F,H,3/6/21,6/17/21,9
F,H,6/18/21,12/13/21,10
F,H,12/14/21,8/12/22,12
F,H,8/13/22,10/16/22,10
F,H,10/17/22,4/2/24,7
F,H,4/3/24,5/10/24,8
F,H,5/11/24,8/11/24,9
F,H,8/12/24,11/21/24,10
F,H,11/22/24,9/26/25,12
F,H,9/27/25,1/23/26,10
F,H,1/24/26,4/19/27,7
F,H,4/20/27,5/26/27,8
F,H,5/27/27,8/31/27,9
F,H,9/1/27,12/29/27,10
F,H,12/30/27,9/23/28,12
F,H,9/24/28,1/2/29,10
F,H,1/3/29,5/7/30,7
G,H,1/1/18,4/9/18,9
G,H,4/10/18,9/3/18,10
G,H,9/4/18,7/12/19,12
G,H,7/13/19,10/13/19,10
G,H,10/14/19,1/9/21,7
G,H,1/10/21,2/16/21,8
G,H,2/17/21,5/22/21,9
G,H,5/23/21,12/11/21,10
G,H,12/12/21,10/4/22,12
G,H,10/5/22,11/12/22,10
G,H,11/13/22,2/12/24,7
G,H,2/13/24,3/8/24,8
G,H,3/9/24,6/13/24,9
G,H,6/14/24,11/29/24,10
G,H,11/30/24,9/12/25,12
G,H,9/13/25,11/19/25,10
G,H,11/20/25,1/7/27,7
G,H,1/8/27,2/9/27,8
G,H,2/10/27,5/8/27,9
G,H,5/9/27,10/9/27,10
G,H,10/10/27,7/31/28,12
G,H,8/1/28,11/10/28,10
G,H,11/11/28,4/19/30,7
G,H,4/20/30,5/20/30,8
H,H,1/1/18,5/8/18,12
H,H,5/9/18,7/20/19,12
H,H,7/21/19,2/16/20,12
H,H,2/17/20,7/13/21,12
H,H,7/14/21,3/21/22,12
H,H,3/22/22,7/31/23,12
H,H,8/1/23,5/23/24,12
H,H,5/24/24,2/25/26,12
I,H,1/1/18,5/7/19,12
I,H,5/8/19,2/23/20,12
I,H,2/24/20,11/8/21,12
I,H,11/9/21,5/1/22,12
I,H,5/2/22,9/11/23,12
I,H,9/12/23,2/26/24,12
I,H,2/27/24,11/5/25,12
I,H,11/6/25,8/19/26,12
J,H,1/1/18,11/10/27,30
